address,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_url
CSXsYMscHFzcRRFRAzAWzD1Fwj6zSvbPvLp4YB1a79yK,9,2024-04-06 14:09:13+00:00,4642.129978289957,6495.7744242258905,GANGSTERZ,GANG,26.16454701329366,1083.6980641063437,https://birdeye.so/token/CSXsYMscHFzcRRFRAzAWzD1Fwj6zSvbPvLp4YB1a79yK
8SZ4EsABY82RMNm3Ce2RtKFdA9BPfb4NaoMyCQ7Y3cYT,6,2024-04-06 13:57:22+00:00,12588.521216348141,12296.877234344223,Roaring Kitty (For the People),$STONKS,26.124626443029413,1776.5842559462808,https://birdeye.so/token/8SZ4EsABY82RMNm3Ce2RtKFdA9BPfb4NaoMyCQ7Y3cYT
5aGByWa7UFXDELNtx9dQHi8knnMRHTGLkjdDRLu6Ebm6,9,2024-04-06 13:59:20+00:00,13822.3802322434,22415.772892372766,Ansem's Mom,SUSAN,25.54622850855771,29114.90747321284,https://birdeye.so/token/5aGByWa7UFXDELNtx9dQHi8knnMRHTGLkjdDRLu6Ebm6
BXFcSoxUxdwoJCzf9LeUHkHXAnQPqsLnuBoqNjBKQoLf,6,2024-04-06 13:51:31+00:00,16564.648764302,19651.1942955379,Continental,CTL,24.330358114995576,2801.2648735305575,https://birdeye.so/token/BXFcSoxUxdwoJCzf9LeUHkHXAnQPqsLnuBoqNjBKQoLf
3LrxeDGbBMioMyUKarQMaS3XAZrqzQyDiWHiPMKRvYSr,9,2024-04-06 13:58:13+00:00,3600.471902104923,4933.253476636708,Satoshi's Cat ,OPCAT,22.619415255442554,2336.1641889236166,https://birdeye.so/token/3LrxeDGbBMioMyUKarQMaS3XAZrqzQyDiWHiPMKRvYSr
CdR8vVxqyE3ppHQkixoY6z1Qu148bxrD3HukDozcazK4,9,2024-04-06 13:50:08+00:00,2548.1079880707002,998.5836228771507,don schnoder,FEET,19.824915526484855,2042.1428382504575,https://birdeye.so/token/CdR8vVxqyE3ppHQkixoY6z1Qu148bxrD3HukDozcazK4
6BrXj91ZkW9dkDjUPzJzDZ5iXyL461ZGmV8SnBpGdD1c,9,2024-04-06 14:18:50+00:00,10648.989699479222,15625.707119141174,ZAMZUNG,ZAMZUNG,19.29616915497142,2094.915494950075,https://birdeye.so/token/6BrXj91ZkW9dkDjUPzJzDZ5iXyL461ZGmV8SnBpGdD1c
4rrDdwa7zr6vGCVuRgMmT6gbkCrw2PFEyQzMw4ZCHavv,9,2024-04-06 14:17:28+00:00,5648.5622157551115,16062.866754759663,KING OF CATS,KCAT,17.41908624393492,7582.952036344951,https://birdeye.so/token/4rrDdwa7zr6vGCVuRgMmT6gbkCrw2PFEyQzMw4ZCHavv
8KfW316k5Z4Jes8eaEQhq6R43Af8NQSjY1JvrXZvKTGj,9,2024-04-06 13:59:15+00:00,5031.336153382757,6902.271878005769,Zuum Cat,NOTACAT,16.819910381571233,1899.7258216138189,https://birdeye.so/token/8KfW316k5Z4Jes8eaEQhq6R43Af8NQSjY1JvrXZvKTGj
FC29qeT7J1fu5BM2kAtdjpfahjFMxwMXk91ej5o2XEyu,6,2024-04-06 13:51:50+00:00,16129.097526890806,28505.166736523013,Mortal,Mortal,14.723585781934808,2090.9531009601233,https://birdeye.so/token/FC29qeT7J1fu5BM2kAtdjpfahjFMxwMXk91ej5o2XEyu
EtwB4J25aDC4TeSAP5jyjz2E74d6ejV7LSYJFQiMyhBt,6,2024-04-06 14:07:52+00:00,4361.495435571787,19584.525055896273,Baby Boden,bboden,12.100106342518862,2538.22920071894,https://birdeye.so/token/EtwB4J25aDC4TeSAP5jyjz2E74d6ejV7LSYJFQiMyhBt
7QFNX82AekjNjXqA97y1ovApebvPK2D7bHRBnRkxBTvk,8,2024-04-06 13:55:00+00:00,4994.645884467298,23530.103979639895,CapBara,CPB,9.229874661171342,3836.054260582211,https://birdeye.so/token/7QFNX82AekjNjXqA97y1ovApebvPK2D7bHRBnRkxBTvk
CdYeeRHvy5dRyMwigq4YkwzjohHYs6rj7ufgStX9cWPm,9,2024-04-06 14:08:15+00:00,4007.7557070774465,10525.042795642696,monkeywifhat,MONKEY ,4.0079034734379935,1709.7456641647855,https://birdeye.so/token/CdYeeRHvy5dRyMwigq4YkwzjohHYs6rj7ufgStX9cWPm
6AB5VrgBNznSNBnjdUbXbaEyfWLwJrxeXF1KVCEvCWDu,9,2024-04-06 14:23:23+00:00,9893.085375817464,17343.17613269832,Costco,Costco,3.641758726832532,3642.319519013848,https://birdeye.so/token/6AB5VrgBNznSNBnjdUbXbaEyfWLwJrxeXF1KVCEvCWDu
